epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,46.0191,2.11703,4.95593,1.60402,0.00435,1,0.47518,0.19745,1.15507,9.86495,0.78851,0.000405702,0.000405702,0.000405702
2,106.462,1.94718,4.16223,1.54382,0.00365,1,0.3178,0.11963,1.16882,9.96766,1.05495,0.000818298,0.000818298,0.000818298
3,159.967,1.98443,3.62113,1.62287,0.12718,0.4375,0.33445,0.15587,1.02184,9.44547,0.96844,0.00122677,0.00122677,0.00122677
4,201.55,2.08249,3.52217,1.67969,0.66461,0.3125,0.34996,0.23732,1.20105,9.80485,1.02549,0.00123144,0.00123144,0.00123144
5,246.089,2.0618,3.92529,1.6499,0.57166,0.54713,0.4621,0.30368,1.13852,10.1024,1.0714,0.00122525,0.00122525,0.00122525
6,287.754,2.03998,3.37015,1.7223,0.25302,0.70456,0.3971,0.18774,1.13474,10.0984,1.19572,0.00121906,0.00121906,0.00121906
7,329.503,1.97473,3.32631,1.77897,0.4991,0.67298,0.69443,0.40568,1.11093,10.0386,1.15535,0.00121287,0.00121287,0.00121287
8,370.612,1.91721,4.1318,1.76914,0.79436,0.70266,0.68953,0.31318,1.2722,12.9994,1.30189,0.00120669,0.00120669,0.00120669
9,412.3,2.07705,3.0791,1.84659,0.42033,0.72602,0.55109,0.2614,1.26668,12.6652,1.26817,0.0012005,0.0012005,0.0012005
10,453.735,2.02728,3.23804,1.81323,0.64511,0.75,0.65943,0.25185,1.30647,7.9544,1.33357,0.00119431,0.00119431,0.00119431
11,495.495,1.9853,3.1979,1.81329,0.82896,0.65961,0.71983,0.30823,1.2527,8.00329,1.17742,0.00118812,0.00118812,0.00118812
12,536.706,2.00604,2.78678,1.7931,0.90522,0.73101,0.69718,0.35811,1.20802,6.34141,1.06749,0.00118194,0.00118194,0.00118194
13,578.295,1.97496,2.50455,1.79846,0.85167,0.70863,0.73631,0.42496,1.22131,6.43636,1.15577,0.00117575,0.00117575,0.00117575
14,619.494,2.01343,2.78183,1.83463,0.70198,0.72922,0.59078,0.28197,1.12772,6.45809,1.07564,0.00116956,0.00116956,0.00116956
15,660.99,1.94439,2.71918,1.79864,0.59337,0.75,0.80833,0.35816,1.18145,6.40917,1.12971,0.00116337,0.00116337,0.00116337
16,702.347,1.95555,2.46873,1.81521,0.88127,0.75,0.796,0.34929,1.23178,6.61408,1.15847,0.00115719,0.00115719,0.00115719
17,743.581,1.84191,2.94763,1.70741,0.77943,0.75,0.82917,0.41786,1.23523,5.91652,1.22275,0.001151,0.001151,0.001151
18,785.604,1.87009,2.17522,1.80797,0.78062,0.75,0.80417,0.42569,1.26617,5.42371,1.24502,0.00114481,0.00114481,0.00114481
19,826.486,1.8932,2.26014,1.69791,0.91175,0.6856,0.87062,0.46673,1.24974,5.3772,1.21189,0.00113863,0.00113863,0.00113863
20,867.75,1.91144,2.35975,1.87215,0.76922,0.70511,0.77942,0.40891,1.2953,5.46211,1.15943,0.00113244,0.00113244,0.00113244
21,908.933,1.84141,2.53325,1.65667,0.80836,0.73244,0.76886,0.31563,1.43233,5.30907,1.24147,0.00112625,0.00112625,0.00112625
22,949.845,1.88199,2.09674,1.72857,0.86721,0.71135,0.76886,0.44574,1.24706,4.94635,1.10616,0.00112006,0.00112006,0.00112006
23,991.254,1.95215,2.31423,1.76307,0.89112,0.62734,0.995,0.45888,1.33464,4.78254,1.22085,0.00111388,0.00111388,0.00111388
24,1032.3,1.88757,2.02041,1.78517,0.86014,0.71289,0.995,0.47902,1.31125,4.74679,1.28559,0.00110769,0.00110769,0.00110769
25,1073.16,1.92894,2.30911,1.77109,0.6752,0.96182,0.84562,0.4224,1.26312,4.44247,1.22857,0.0011015,0.0011015,0.0011015
26,1114.19,1.86906,1.79514,1.68413,0.9051,0.74626,0.771,0.45623,1.28795,4.58687,1.20426,0.00109531,0.00109531,0.00109531
27,1155.28,1.8798,2.12675,1.7967,0.90646,0.63421,0.82917,0.43349,1.36468,4.47615,1.28766,0.00108913,0.00108913,0.00108913
28,1196.05,1.88794,1.96215,1.75725,0.59248,1,0.995,0.53335,1.36313,4.38033,1.28362,0.00108294,0.00108294,0.00108294
29,1237.35,1.87004,2.05745,1.7731,0.71747,1,0.995,0.52854,1.38706,3.96074,1.32603,0.00107675,0.00107675,0.00107675
30,1278.43,1.89217,1.75593,1.79086,0.91285,0.65769,0.995,0.51336,1.39419,3.69636,1.36439,0.00107056,0.00107056,0.00107056
31,1319.33,1.80708,1.83306,1.70413,0.89282,0.625,0.94321,0.54009,1.34094,4.0312,1.31613,0.00106437,0.00106437,0.00106437
32,1360.6,1.84811,1.73226,1.72878,0.94299,0.73257,0.87062,0.44951,1.35078,3.84792,1.31319,0.00105819,0.00105819,0.00105819
33,1401.53,1.80898,2.2582,1.67477,0.87689,0.67588,0.9825,0.46306,1.44254,3.46189,1.4032,0.001052,0.001052,0.001052
34,1442.82,1.93496,1.70134,1.76078,0.89524,0.6875,0.9825,0.45475,1.42846,3.22881,1.44907,0.00104581,0.00104581,0.00104581
35,1483.78,1.83651,1.92296,1.72015,0.93116,0.72157,0.995,0.42301,1.5029,3.13593,1.44529,0.00103962,0.00103962,0.00103962
36,1524.47,1.97248,2.01415,1.78435,0.85251,0.64948,0.96821,0.42679,1.42819,3.39426,1.4406,0.00103344,0.00103344,0.00103344
37,1565.29,1.88876,1.71989,1.85031,0.55297,1,0.995,0.4837,1.34467,3.23678,1.39477,0.00102725,0.00102725,0.00102725
38,1606.61,1.86355,1.63119,1.77652,0.58847,1,0.995,0.37935,1.41797,3.19503,1.46352,0.00102106,0.00102106,0.00102106
39,1647.57,1.83947,1.70136,1.83255,0.60966,1,0.87062,0.38905,1.42994,3.04144,1.40521,0.00101488,0.00101488,0.00101488
